ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
1,2433,50.0,tertiary,Ubi Avenue 3,103.89447104,1.33203174,43.6635992868,0.239263143,0.3820343017578125
2,395,50.0,residential,Defu Lane 12,103.89462752,1.34076854,43.3944396973,0.22856767,0.3086834716796875
3,1197,50.0,tertiary,Ubi Avenue 3,103.89409368,1.33177943,43.3638044504,0.337725294,0.38458435058593754
4,395,100.0,residential,Defu Lane 12,103.89505886,1.34064587,43.3546085358,0.361940738,0.39544189453125
5,1244,50.0,residential,Bunga Rampai Place,103.88377526,1.33966457,43.3415137071,0.24631714,0.350321044921875
6,1300,50.0,residential,Jalan Bunga Rampai,103.88362035,1.33982749,43.2895952861,0.39546622,0.3186053466796875
7,1117,50.0,residential,Ubi Road 4,103.89906057,1.33371164,43.252392162,0.192804212,
8,1760,50.0,residential,Bunga Rampai Place,103.88392921,1.3391916,43.2419197776,0.19860771,0.19646484375
9,1493,50.0,residential,Paya Lebar Street,103.88460905,1.33937631,43.1944303513,0.268966143,0.4525238037109375
10,981,50.0,secondary,Airport Road,103.89754509,1.33946386,43.18752809,0.415614312,0.3455841064453125
11,1340,50.0,secondary,Kim Chuan Road,103.88988096,1.34145645,43.136359351,0.323247489,0.17236572265625003
12,395,150.0,residential,Defu Lane 12,103.89549858,1.34055309,43.1193548838,0.314628847,0.3802191162109375
13,2360,150.0,secondary,Bartley Road East,103.89928952,1.33940384,43.0058992826,0.343770826,0.3728515625
14,10,50.0,residential,Ubi View,103.89626758,1.33168201,42.8028918675,0.402571214,0.3480389404296875
15,2667,200.0,secondary,Ubi Avenue 2,103.89396127,1.32774567,42.8018237027,0.511016794,0.5564019775390625
16,2360,100.0,secondary,Bartley Road East,103.89970022,1.33922064,42.7843067463,0.476448247,0.3968194580078125
17,670,50.0,secondary,Kim Chuan Road,103.88943147,1.34126441,42.7749595642,0.572273811,
18,1218,50.0,residential,Lorong Paya Lebar,103.88525842,1.33932648,42.7749222976,0.175878144,0.1717071533203125
19,237,50.0,residential,Harper Road,103.88781532,1.33455288,42.7583802541,0.238511824,0.0853424072265625
20,1918,50.0,residential,Paya Lebar Street,103.88532965,1.33892755,42.7182251612,0.233141763,0.3177978515625
21,2245,50.0,residential,Lorong Paya Lebar,103.88473371,1.33986038,42.5966104361,0.171568856,0.19723327636718752
22,1806,50.0,residential, ,103.88535067,1.3396143,42.589950855,0.123153168,0.228695068359375
23,530,150.0,secondary,Ubi Avenue 2,103.89412306,1.3279551,42.5864699682,0.61365288,0.5937646484375001
24,1900,50.0,residential,Jalan Anggerek,103.88246182,1.33158829,42.5559211144,0.127656183,0.0815380859375
