ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
835,242,150.0,primary,Yishun Avenue 7,103.83459713,1.43893128,25.0587332799,0.44849234,0.40779541015625004
836,219,100.0,primary,Sembawang Avenue,103.82251472,1.44406488,25.8281131158,0.229036222,0.2659478759765625
837,2237,150.0,primary,Sembawang Avenue,103.82240554,1.44413566,25.8480173258,0.263420001,0.2800640869140625
838,1678,50.0,primary,Yishun Avenue 7,103.83480039,1.43919001,25.9125639598,0.359930211,0.3507196044921875
839,2237,50.0,primary,Sembawang Avenue,103.82166413,1.44362469,25.9228547903,0.321677506,0.39957885742187504
840,219,50.0,primary,Sembawang Avenue,103.82288091,1.44432689,25.9799385071,0.219884638,0.21589843749999998
841,2237,200.0,primary,Sembawang Avenue,103.82277765,1.44438908,25.9871281844,0.364406105,0.3673809814453125
842,2237,100.0,primary,Sembawang Avenue,103.82203477,1.44388027,26.1170850481,0.317592397,0.3890020751953125
843,242,100.0,primary,Yishun Avenue 7,103.83501105,1.43910715,26.3540524074,0.309876499,0.3320281982421875
844,219,150.0,primary,Sembawang Avenue,103.82214853,1.44380288,26.4277217572,0.223551001,0.2453533935546875
845,2352,250.0,tertiary,Gambas Way,103.82080362,1.44043227,26.6875817226,0.375090079,
846,2352,200.0,tertiary,Gambas Way,103.82058284,1.44082595,26.8357765491,0.507283371,0.50237060546875
847,2584,100.0,residential,Canberra Drive,103.82783933,1.443682,26.8474125495,0.305230284,0.18519653320312499
848,2429,50.0,primary,Sembawang Avenue,103.82131919,1.44326695,26.9415198962,0.118015553,0.108328857421875
849,143,50.0,primary,Sembawang Road,103.82425563,1.44541917,27.0004909222,0.351168741,0.319508056640625
850,1351,100.0,primary,Sembawang Road,103.82431303,1.44563142,27.0190771543,0.41660723,0.394537353515625
851,302,550.0,residential,Canberra Drive,103.82786575,1.44355644,27.0283612338,0.351859824,0.21714172363281253
852,1351,50.0,primary,Sembawang Road,103.82397776,1.4453304,27.0322473966,0.333563737,0.30317138671875
853,1390,50.0,residential,Old Nelson Road,103.82349777,1.44822577,27.0534368662,0.496731268,0.482601318359375
854,302,650.0,residential,Canberra Drive,103.82734823,1.44429577,27.1292621295,0.32863575,0.2187371826171875
855,2352,1050.0,tertiary,Gambas Way,103.82071339,1.44045631,27.133099556,0.342948911,
856,130,150.0,primary,Sembawang Avenue,103.8200392,1.44267126,27.1550073624,0.423900753,0.2890838623046875
857,2447,200.0,primary,Yishun Avenue 2,103.83193027,1.44007349,27.1619008871,0.645363847,0.48437805175781246
858,2352,150.0,tertiary,Gambas Way,103.82032941,1.44119933,27.1678295135,0.566133484,0.2737347412109375
859,884,50.0,primary,Sembawang Road,103.82465803,1.44576523,27.2263349806,0.394021458,0.330054931640625
860,2352,1100.0,tertiary,Gambas Way,103.82048699,1.44084644,27.2541167395,0.57770821,0.50237548828125
861,143,100.0,primary,Sembawang Road,103.82391557,1.44512365,27.2771785443,0.239301309,0.1966943359375
862,2662,50.0,primary,Sembawang Road,103.82472634,1.44600277,27.3056931929,0.47526339,0.415614013671875
863,1334,100.0,residential,Canberra Drive,103.82473234,1.44573749,27.3082398501,0.42336261,0.43028381347656247
864,2352,100.0,tertiary,Gambas Way,103.82007597,1.44157271,27.3223242326,0.662355737,0.5300152587890625
865,627,100.0,primary,Sembawang Avenue,103.82002221,1.44249058,27.3698609216,0.357338859,0.3298455810546875
866,132,50.0,primary,Canberra Road,103.82359571,1.44519913,27.3959357922,0.186116629,0.19843383789062502
867,778,150.0,residential,Jalan Sendudok,103.82730198,1.4431387,27.4086880317,0.544159067,0.5520745849609374
868,627,50.0,primary,Sembawang Avenue,103.82040929,1.44272016,27.4241516407,0.334400312,0.2596734619140625
869,2352,300.0,tertiary,Gambas Way,103.82102188,1.44003703,27.4743721826,0.485564012,
870,2662,100.0,primary,Sembawang Road,103.82506272,1.44630254,27.4887802417,0.392111974,0.4279119873046875
871,1999,200.0,primary,Yishun Avenue 2,103.83176161,1.44007266,27.5290036883,0.426283181,0.37490112304687495
872,778,200.0,residential,Jalan Sendudok,103.82706574,1.44351578,27.5464417594,0.528746077,0.3791357421875
873,2352,450.0,tertiary,Gambas Way,103.82167666,1.4388513,27.572271347,0.467316113,0.1044097900390625
874,151,200.0,primary,Gambas Avenue,103.81628788,1.441991,27.589600563,0.092400072,0.1057916259765625
875,2352,1000.0,tertiary,Gambas Way,103.82093227,1.44006141,27.5912226268,0.471863708,
876,176,50.0,residential,Canberra Drive,103.82504708,1.4456485,27.6717127391,0.494345177,0.4127490234375
877,1334,50.0,residential,Canberra Drive,103.8250912,1.44549637,27.7819529313,0.440773648,0.3166912841796875
878,2352,350.0,tertiary,Gambas Way,103.82124014,1.43964178,27.7898928324,0.348989394,
879,2352,1200.0,tertiary,Gambas Way,103.81996829,1.44158492,27.7977185683,0.601743327,0.5300927734375
880,2352,400.0,tertiary,Gambas Way,103.8214584,1.43924654,27.8155024392,0.427463577,
881,2352,850.0,tertiary,Gambas Way,103.82158891,1.43887672,27.8157764782,0.400247489,0.10454589843749999
882,2352,950.0,tertiary,Gambas Way,103.82115115,1.43966652,27.8454796184,0.327691174,
883,735,50.0,residential,Canberra Drive,103.82981093,1.43896133,27.9318699837,0.497855532,0.4397576904296875
884,242,50.0,primary,Yishun Avenue 7,103.83542497,1.43928302,27.9414602915,0.476046614,0.5158642578125
885,2352,1150.0,tertiary,Gambas Way,103.82022764,1.44121568,27.9610548019,0.460456036,0.2736822509765625
886,2352,900.0,tertiary,Gambas Way,103.82137003,1.43927162,28.0896945,0.319655489,
887,2516,150.0,primary,Sembawang Road,103.8237226,1.44371417,28.0908408532,0.307390032,0.3258355712890625
888,151,150.0,primary,Gambas Avenue,103.81666905,1.44175162,28.0928850174,0.074439572,0.069974365234375
889,1679,100.0,primary,Gambas Avenue,103.81639716,1.44209054,28.1138421572,0.061937342,0.051629028320312506
890,2447,250.0,primary,Yishun Avenue 2,103.83216227,1.43968626,28.1361429041,0.608618389,0.448720703125
891,2584,150.0,residential,Canberra Drive,103.82808621,1.44330421,28.1685319628,0.263076708,0.22308532714843748
892,2215,100.0,primary,Sembawang Road,103.82532486,1.44639769,28.1927383129,0.542223188,0.5500708007812499
893,2447,150.0,primary,Yishun Avenue 2,103.83169824,1.44046071,28.211341313,0.555917299,0.4129254150390625
894,1594,100.0,primary,Yishun Avenue 2,103.8341836,1.4362379,28.2265140827,0.633682049,0.40471130371093755
895,302,500.0,residential,Canberra Drive,103.82810399,1.44317328,28.3000635,0.359983354,0.356729736328125
896,1679,50.0,primary,Gambas Avenue,103.81601544,1.44232905,28.3920222062,0.059695059,0.04856018066406251
897,2057,150.0,primary,Yishun Avenue 2,103.83412065,1.43602521,28.3929245813,0.529631542,0.40782897949218744
898,549,50.0,primary,Yishun Avenue 7,103.83222518,1.43792495,28.3950381646,0.523008248,0.5220733642578125
899,788,100.0,residential,Yishun Street 22,103.83541176,1.43612059,28.4108943939,0.468657938,0.44013427734375
900,130,100.0,primary,Sembawang Avenue,103.81965668,1.44243418,28.4136152267,0.386713463,0.36115966796875004
901,2057,100.0,primary,Yishun Avenue 2,103.83428914,1.43560622,28.4531745911,0.488619064,0.44625610351562495
902,1999,150.0,primary,Yishun Avenue 2,103.83199483,1.43968617,28.4590089971,0.412238053,0.3286749267578125
903,1594,150.0,primary,Yishun Avenue 2,103.83436493,1.43582428,28.4645938873,0.707540401,0.549915771484375
904,2352,50.0,tertiary,Gambas Way,103.81982253,1.44194609,28.4862915386,0.627310528,0.590540771484375
905,2000,50.0,tertiary,Gambas Crescent,103.81924754,1.44219163,28.5616276081,0.426044891,0.3422674560546875
906,2523,100.0,primary,Yishun Avenue 7,103.83190783,1.43794858,28.5835707738,0.515986305,0.42178466796875
907,130,50.0,primary,Sembawang Avenue,103.81927725,1.44219204,28.583676974,0.412984386,0.34225952148437494
908,242,200.0,primary,Yishun Avenue 7,103.83418321,1.43875541,28.6082338186,0.410696361,0.35082763671875
909,2338,50.0,tertiary,Gambas Crescent,103.8157591,1.44367084,28.6148351034,0.468177676,0.45030395507812493
910,302,600.0,residential,Canberra Drive,103.82760699,1.44392611,28.6301059723,0.333749446,0.32874267578125
911,445,50.0,residential,Jalan Sendudok,103.824284,1.44391221,28.64223775,0.370529397,0.546224365234375
912,240,50.0,residential,Yishun Street 22,103.83610126,1.43908046,28.6617269516,0.691000711,0.62347900390625
913,627,150.0,primary,Sembawang Avenue,103.81965038,1.44223684,28.6940584916,0.341180066,0.2883197021484375
914,781,50.0,residential,Yishun Street 22,103.8359449,1.43929164,28.7281765571,0.563849273,0.599512939453125
915,1679,150.0,primary,Gambas Avenue,103.81677887,1.44185203,28.7616311854,0.088217165,0.0612274169921875
916,2584,50.0,residential,Canberra Drive,103.82759019,1.4440583,28.8376455307,0.270556306,0.2423858642578125
917,2530,150.0,residential,Yishun Street 22,103.83619441,1.43870581,28.855381012,0.687399398,0.554530029296875
918,778,250.0,residential,Jalan Sendudok,103.82671223,1.44379421,28.87123503,0.53029359,0.6237158203125
919,2057,200.0,primary,Yishun Avenue 2,103.83393484,1.43643633,28.873884201,0.346864176,0.30619689941406253
920,2352,1250.0,tertiary,Gambas Way,103.81970583,1.4419508,28.8835717982,0.565181326,0.5904534912109375
921,1999,100.0,primary,Yishun Avenue 2,103.83222805,1.43929968,28.9269657135,0.475646766,0.4196514892578125
922,627,200.0,primary,Sembawang Avenue,103.81927954,1.44198155,28.9678761618,0.401829803,0.3639093017578125
923,1393,50.0,residential,Canberra Drive,103.83016448,1.43881823,29.0914281698,0.431108427,0.46616516113281253
924,778,100.0,residential,Jalan Sendudok,103.8273559,1.44269165,29.0921795185,0.537032739,0.465965576171875
925,1177,50.0,secondary,Sembawang Link,103.82131907,1.44211655,29.2127375169,0.245360962,
