ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
324,2653,100.0,primary,Ang Mo Kio Avenue 6,103.84505619,1.37502906,42.1488866806,0.038798993,0.0853118896484375
325,783,50.0,primary,Ang Mo Kio Avenue 6,103.8450688,1.37441378,41.4811442693,0.059612419,0.099283447265625
326,2463,50.0,primary,Ang Mo Kio Avenue 6,103.84501171,1.37487198,40.977015904,0.037441658,0.0715716552734375
327,367,50.0,residential,Ang Mo Kio Central 2,103.84619603,1.37326869,40.4344406128,0.326520847,0.3173779296875
328,92,50.0,primary,Ang Mo Kio Avenue 6,103.84516029,1.37421947,40.2466528756,0.102351662,0.0908685302734375
329,1439,50.0,residential,Mayflower Way,103.84073001,1.37227871,40.0137672424,0.286683855,0.20568420410156252
330,2531,150.0,residential,Mayflower Crescent,103.84027715,1.37224528,39.9829638554,0.24648989,0.127791748046875
331,890,50.0,residential,Mayflower Avenue,103.83885696,1.37276649,39.9054570879,0.372722547,0.49679565429687494
332,822,50.0,primary,Ang Mo Kio Avenue 5,103.85700404,1.37603062,39.6140306913,0.48624198,0.4126190185546875
333,941,50.0,residential,Mayflower Way,103.83990482,1.37217226,39.428427015,0.245835833,0.161217041015625
334,1290,50.0,residential,Ang Mo Kio Central 2,103.84640007,1.37294453,39.3537607193,0.398341735,0.402674560546875
335,2024,250.0,residential,Mayflower Place,103.84074291,1.37261409,39.3462958703,0.269202025,0.1325421142578125
336,1079,50.0,residential,Ang Mo Kio Central 2,103.84560137,1.3741237,39.3215258462,0.308678986,0.3184466552734375
337,1423,100.0,residential,Ang Mo Kio Street 43,103.85596976,1.36726311,39.2717900957,0.472479744,0.43180725097656253
338,2194,50.0,residential,Mayflower Terrace,103.8406692,1.37167336,39.2700125376,0.215696758,0.178551025390625
339,1507,50.0,residential,Mayflower Rise,103.83839351,1.37226161,39.2471070971,0.572326877,0.63058349609375
340,2531,100.0,residential,Mayflower Crescent,103.84007921,1.37265121,39.2360087803,0.572006945,0.47901855468750004
341,2653,50.0,primary,Ang Mo Kio Avenue 6,103.84500032,1.37547773,39.1820934002,0.039459842,0.0715765380859375
342,2193,50.0,primary,Ang Mo Kio Avenue 5,103.85775481,1.37622945,39.1121836576,0.308588264,0.2838751220703125
343,2463,100.0,primary,Ang Mo Kio Avenue 6,103.84495283,1.37532026,39.103635788,0.024480841,0.073426513671875
344,2309,50.0,primary,Ang Mo Kio Avenue 5,103.85802317,1.37649011,39.0618506212,0.218428883,0.1615667724609375
345,1191,200.0,primary,Ang Mo Kio Avenue 6,103.84541759,1.37220433,39.0429243608,0.061418871,0.122164306640625
346,1191,150.0,primary,Ang Mo Kio Avenue 6,103.84536011,1.3726528,38.9650870103,0.036113856,0.10661376953124999
347,303,50.0,primary,Ang Mo Kio Avenue 8,103.84913981,1.36993514,38.9406920213,0.130168659,0.16789306640625
348,1290,100.0,residential,Ang Mo Kio Central 2,103.84684603,1.37299951,38.9224555276,0.508312399,0.50635009765625
349,2194,100.0,residential,Mayflower Terrace,103.84022404,1.37161223,38.9223685631,0.228158038,0.23579589843749998
350,846,100.0,primary,Ang Mo Kio Avenue 8,103.84845876,1.37132556,38.8878933589,0.472058617,0.4374102783203125
351,801,50.0,primary,Ang Mo Kio Avenue 8,103.84915572,1.37015588,38.8837168557,0.073508699,0.087767333984375
352,523,50.0,residential,Ang Mo Kio Street 53,103.85089126,1.37511878,38.8551265172,0.304172783,0.307281494140625
353,345,50.0,primary,Ang Mo Kio Avenue 3,103.85635084,1.36915607,38.8028899602,0.288103479,0.22057128906249998
354,2615,100.0,primary,Ang Mo Kio Avenue 5,103.85708523,1.37622305,38.7940271818,0.528320191,0.4844219970703125
355,1817,50.0,primary,Ang Mo Kio Avenue 3,103.85629394,1.36926871,38.7419914832,0.213894798,0.29052978515625
356,1726,50.0,primary,Ang Mo Kio Avenue 6,103.84525868,1.37235437,38.6660385132,0.07905989,0.1116302490234375
357,1191,250.0,primary,Ang Mo Kio Avenue 6,103.84547506,1.37175586,38.659579057,0.086939,0.09762878417968751
358,162,50.0,residential,Ang Mo Kio Street 43,103.85588474,1.36718699,38.629549299,0.441479356,0.4845733642578125
359,2561,100.0,primary,Ang Mo Kio Avenue 8,103.84840711,1.37181557,38.5812055148,0.475663958,0.4574822998046875
360,1458,50.0,residential,Ang Mo Kio Central 2,103.84565294,1.37406997,38.5136525081,0.396826369,0.3184466552734375
361,760,50.0,residential,Mayflower Avenue,103.83930669,1.3724203,38.4878871624,0.457264026,0.4699713134765625
362,2024,100.0,residential,Mayflower Place,103.83988343,1.37352443,38.4870351156,0.335259829,0.3922802734375
363,1029,50.0,primary,Ang Mo Kio Avenue 5,103.8582094,1.3763425,38.4689754139,0.192638456,0.13690673828125
364,2560,50.0,primary,Ang Mo Kio Avenue 8,103.8481727,1.37244717,38.417109056,0.385092394,0.43641784667968747
365,164,100.0,residential,Serenade Walk,103.83468676,1.37934747,38.4137565068,0.337093662,0.27124755859375
366,1507,100.0,residential,Mayflower Rise,103.83879664,1.37206198,38.3757843604,0.378295097,0.388096923828125
367,2531,50.0,residential,Mayflower Crescent,103.83978829,1.37295847,38.357787541,0.611924993,0.5452667236328125
368,643,100.0,primary,Ang Mo Kio Avenue 6,103.84545004,1.37094138,38.3420219421,0.043787057,0.0113995361328125
369,1049,50.0,primary,Ang Mo Kio Avenue 6,103.8453767,1.37150754,38.3320032756,0.031535441,0.0461749267578125
370,1740,50.0,primary,Ang Mo Kio Avenue 3,103.84869928,1.36883698,38.3206323477,0.200378761,0.2810888671875
371,1989,50.0,residential,Ang Mo Kio Street 53,103.85086131,1.37552071,38.3153603294,0.300714191,0.42719116210937497
372,1726,100.0,primary,Ang Mo Kio Avenue 6,103.84519536,1.37280204,38.3107283456,0.091661891,0.0953985595703125
373,1734,50.0,residential,Mayflower Road,103.84114227,1.37191555,38.299106011,0.502859627,0.44605895996093753
374,1079,100.0,residential,Ang Mo Kio Central 2,103.84604853,1.37416666,38.2831871726,0.443113708,0.36361572265625003
375,1423,50.0,residential,Ang Mo Kio Street 43,103.85554683,1.3674157,38.2667375044,0.527461131,0.53640869140625
376,12,50.0,secondary,Ang Mo Kio Avenue 10,103.85670209,1.367497,38.2563299699,0.387746138,0.378609619140625
377,1702,50.0,primary,Ang Mo Kio Avenue 3,103.84871982,1.36872569,38.2535077609,0.196829239,0.497825927734375
378,611,50.0,primary,Ang Mo Kio Avenue 6,103.8455456,1.37127394,38.2510038103,0.023316934,0.0220135498046875
379,2561,50.0,primary,Ang Mo Kio Avenue 8,103.84832176,1.37225818,38.2330314091,0.338799994,0.42853576660156256
380,2615,50.0,primary,Ang Mo Kio Avenue 5,103.85665618,1.37608938,38.2262535095,0.695312899,0.500933837890625
381,2349,100.0,residential,Mayflower Lane,103.8401276,1.37097366,38.2170976492,0.354073245,0.22839477539062503
382,2315,100.0,secondary,Ang Mo Kio Avenue 10,103.85685215,1.36913952,38.213924408,0.1126321,0.18607666015625
383,196,50.0,primary,Ang Mo Kio Avenue 8,103.84866344,1.37113634,38.2114950327,0.313632109,0.31913085937499996
384,1790,50.0,residential,Ang Mo Kio Street 43,103.85655772,1.36707111,38.197313162,0.354777008,0.2757574462890625
385,446,50.0,primary,Ang Mo Kio Avenue 8,103.84942035,1.36969137,38.1862250108,0.122130973,0.1227899169921875
386,1525,50.0,residential,Mayflower Road,103.84063785,1.37042654,38.1436488812,0.244907338,0.24694396972656252
387,855,50.0,secondary,Ang Mo Kio Avenue 10,103.85678686,1.36833152,38.1313613256,0.444078167,0.42602905273437497
388,281,50.0,primary,Ang Mo Kio Avenue 6,103.84489734,1.37579239,38.1157465848,0.023054228,0.06323486328125001
389,95,50.0,residential,Mayflower Drive,103.83873902,1.37336276,38.1087777274,0.28124669,0.20111328125
390,1296,50.0,primary,Ang Mo Kio Avenue 3,103.84504463,1.36906947,38.1053529467,0.04021821,0.030574340820312504
391,1140,50.0,residential,Mayflower Crescent,103.83933928,1.37302717,38.0949971335,0.480243883,0.5600323486328125
392,1291,50.0,residential,Ang Mo Kio Street 53,103.85092678,1.37569668,38.0908177694,0.273901471,0.43992431640624996
393,2024,50.0,residential,Mayflower Place,103.83944133,1.373605,38.0858562176,0.321620982,0.3944146728515625
394,1051,100.0,primary,Ang Mo Kio Avenue 5,103.84346504,1.37727496,38.0764451708,0.105501117,0.06272338867187499
395,2349,50.0,residential,Mayflower Lane,103.84057395,1.37102526,38.0426753651,0.251673443,0.19382629394531253
396,2044,100.0,residential,Ang Mo Kio Street 53,103.85076518,1.37396782,38.0392731887,0.39581858,0.49116271972656256
397,389,50.0,primary,Ang Mo Kio Avenue 3,103.84520785,1.36918813,38.0290920551,0.048030735,0.08117187499999999
398,2194,150.0,residential,Mayflower Terrace,103.83977888,1.3715511,38.0147972107,0.46805022,0.336263427734375
399,1895,50.0,primary,Ang Mo Kio Avenue 3,103.84583401,1.36897913,38.0142763578,0.027397222,0.06485758463541667
400,664,50.0,primary,Ang Mo Kio Avenue 3,103.84926709,1.36882437,37.9595092138,0.021945608,0.5270111083984375
401,2251,50.0,residential,Ang Mo Kio Street 53,103.85080794,1.37465851,37.9450209481,0.334023908,0.2833349609375
402,1191,100.0,primary,Ang Mo Kio Avenue 6,103.84530264,1.37310127,37.9366229131,0.087152004,0.09659667968749999
403,2024,150.0,residential,Mayflower Place,103.84030507,1.37339726,37.911980849,0.367078426,0.359853515625
404,2571,50.0,secondary,Ang Mo Kio Avenue 10,103.85684111,1.36797381,37.8944226778,0.29699622,0.201993408203125
405,1581,50.0,primary,Ang Mo Kio Avenue 6,103.84427379,1.38142847,37.8697706369,0.029495234,0.02023681640625
406,943,50.0,secondary,Ang Mo Kio Avenue 10,103.85678575,1.36899694,37.8321393331,0.188809826,0.2052984619140625
407,1482,50.0,residential,Mayflower Avenue,103.83966876,1.37156108,37.830517162,0.621476959,0.33586486816406247
408,846,50.0,primary,Ang Mo Kio Avenue 8,103.84863322,1.37090916,37.8264416781,0.447430906,0.35014404296874996
409,1313,50.0,secondary,Ang Mo Kio Avenue 10,103.85675988,1.36735829,37.8164763817,0.41442096,0.3357177734375
410,643,50.0,primary,Ang Mo Kio Avenue 6,103.84555483,1.37050368,37.8117922269,0.06748571,0.017391967773437503
411,163,50.0,primary,Ang Mo Kio Avenue 6,103.84454022,1.37897117,37.7996808566,0.033344235,0.028382568359375
412,183,200.0,primary,Ang Mo Kio Avenue 6,103.84419894,1.38226485,37.7868227277,0.051815607,0.0180743408203125
413,2397,50.0,residential,Ang Mo Kio Street 21,103.83476283,1.36794034,37.7859295932,0.421192286,0.3631585693359375
414,1051,50.0,primary,Ang Mo Kio Avenue 5,103.8439126,1.37731419,37.782467582,0.158383789,0.058422851562499996
415,2262,50.0,residential,Ang Mo Kio Central 2,103.84765612,1.37307428,37.7736861489,0.359707667,0.3455560302734375
416,2024,200.0,residential,Mayflower Place,103.8405449,1.37301999,37.7558634831,0.272337746,0.315557861328125
417,215,50.0,residential,Ang Mo Kio Street 53,103.85084322,1.37433748,37.7478725727,0.387184688,0.37438476562500006
418,2241,50.0,primary,Ang Mo Kio Avenue 8,103.84819504,1.37347547,37.7422180176,0.356217325,0.42050842285156254
419,1864,150.0,primary,Ang Mo Kio Avenue 5,103.84335997,1.37736979,37.7367861821,0.144923733,0.1119976806640625
420,2471,50.0,primary,Ang Mo Kio Avenue 6,103.84563192,1.37040803,37.730352255,0.062579342,0.028448486328124998
421,2315,50.0,secondary,Ang Mo Kio Avenue 10,103.85685013,1.36959153,37.7215796251,0.339629265,0.335394287109375
422,1482,150.0,residential,Mayflower Avenue,103.84003991,1.37073874,37.6960501237,0.609735302,0.6282055664062499
423,162,100.0,residential,Ang Mo Kio Street 43,103.85546213,1.3673405,37.6780034579,0.53882744,0.5625994873046876
424,862,50.0,residential,Mayflower Road,103.84105027,1.37128586,37.6726512909,0.405081579,0.4155731201171875
425,1482,100.0,residential,Mayflower Avenue,103.83985584,1.37115123,37.6409566062,0.574318392,0.511944580078125
426,744,50.0,primary,Ang Mo Kio Avenue 6,103.84558493,1.36959798,37.6174944364,0.027145259,0.0422015380859375
427,2324,50.0,primary,Ang Mo Kio Avenue 8,103.84509164,1.38088435,37.603380839,0.049789356,0.0397943115234375
428,2274,50.0,primary,Ang Mo Kio Avenue 8,103.84800469,1.37387861,37.5961366133,0.370429271,0.21406005859375
429,2081,50.0,primary,Ang Mo Kio Avenue 6,103.84529222,1.36868894,37.5849530147,0.023852533,0.0310174560546875
430,2691,50.0,primary, ,103.84482499,1.37695548,37.5830318744,0.016240406,0.04117553710937501
431,1559,50.0,residential,Ang Mo Kio Street 52,103.85401759,1.37237963,37.5826065757,0.367418091,0.3953143310546875
432,909,100.0,primary,Ang Mo Kio Avenue 5,103.85591839,1.37592047,37.5370704106,0.129696262,0.14870544433593752
433,2482,150.0,primary,Ang Mo Kio Avenue 8,103.8481266,1.3739815,37.5320765177,0.371770528,0.38146240234374995
434,1911,50.0,primary,Ang Mo Kio Avenue 6,103.84516207,1.37742855,37.5279687735,0.055732568,0.032044677734375006
435,1507,150.0,residential,Mayflower Rise,103.83920742,1.37188794,37.4908409119,0.432481504,0.4854840087890625
436,2050,200.0,primary,Ang Mo Kio Avenue 5,103.85288063,1.37597146,37.4809934176,0.332182681,0.2584759521484375
437,2296,50.0,residential,Ang Mo Kio Central 2,103.8478922,1.37314257,37.4758221553,0.255005955,0.2608349609375
438,882,50.0,residential,Ang Mo Kio Street 53,103.85080029,1.37363908,37.4560418562,0.416549521,0.420467529296875
439,164,150.0,residential,Serenade Walk,103.83453624,1.37977352,37.4118352618,0.475410302,0.452659912109375
440,183,150.0,primary,Ang Mo Kio Avenue 6,103.84416605,1.38271518,37.4109393033,0.087844662,0.257666015625
441,1171,50.0,primary,Ang Mo Kio Avenue 5,103.84425076,1.37738683,37.3835212708,0.054515486,0.031458740234375004
442,1432,50.0,residential,Ang Mo Kio Street 22,103.84101565,1.36718952,37.3732119969,0.397729995,0.4363580322265625
443,1890,50.0,residential,Ang Mo Kio Street 22,103.84084585,1.36718321,37.3695373535,0.387510677,0.46034118652343753
444,2044,50.0,residential,Ang Mo Kio Street 53,103.85073729,1.37351651,37.3669994899,0.347988508,0.3685662841796875
445,281,100.0,primary,Ang Mo Kio Avenue 6,103.84484486,1.37624148,37.3473146879,0.016503856,0.0456201171875
446,196,100.0,primary,Ang Mo Kio Avenue 8,103.84884999,1.37072497,37.3396503742,0.277085242,0.3290472412109375
447,1726,150.0,primary,Ang Mo Kio Avenue 6,103.84513203,1.37324971,37.3331916116,0.108311291,0.13613220214843752
448,446,100.0,primary,Ang Mo Kio Avenue 8,103.84963969,1.36929674,37.3322986256,0.088004276,0.088924560546875
449,2225,50.0,primary,Ang Mo Kio Avenue 3,103.84778904,1.36874547,37.2945414952,0.443418621,0.4059405517578125
450,2421,50.0,residential,Ang Mo Kio Central 1,103.84590889,1.37011429,37.2933381399,0.22778191,0.03820800781249999
451,2227,50.0,primary,Ang Mo Kio Avenue 3,103.84103826,1.3695884,37.282535553,0.343345931,0.32865966796875
452,658,50.0,secondary,Ang Mo Kio Avenue 10,103.85678437,1.36980767,37.2744334294,0.357379275,0.340311279296875
453,1191,50.0,primary,Ang Mo Kio Avenue 6,103.84524517,1.37354973,37.2234427712,0.072597239,0.1471319580078125
454,1614,50.0,primary,Ang Mo Kio Avenue 3,103.84081222,1.36967878,37.212995089,0.251761683,0.37553588867187504
455,2048,50.0,primary,Ang Mo Kio Avenue 6,103.84456809,1.3783125,37.1995248795,0.050236577,0.01760009765625
456,1903,50.0,primary,Ang Mo Kio Avenue 6,103.84493454,1.37614793,37.1939125061,0.023084665,0.056138916015625
457,408,50.0,primary,Ang Mo Kio Avenue 8,103.84483138,1.38090771,37.1927359445,0.019626693,0.026056518554687498
458,414,50.0,primary,Ang Mo Kio Avenue 5,103.84569323,1.37725287,37.1856196721,0.096776086,0.074991455078125
459,1051,150.0,primary,Ang Mo Kio Avenue 5,103.84301722,1.37723846,37.1747439702,0.231331659,0.248385009765625
460,1022,50.0,secondary,Ang Mo Kio Avenue 9,103.84047496,1.38339484,37.1468993596,0.286415991,0.384354248046875
461,444,100.0,primary,Ang Mo Kio Avenue 3,103.85578692,1.36940387,37.0832581954,0.274888353,0.2676068115234375
462,1745,50.0,primary,Ang Mo Kio Avenue 8,103.84630154,1.38008501,37.0662762324,0.261777548,0.3320172119140625
463,2201,50.0,residential,Yio Chu Kang Gardens,103.8380176,1.38128528,37.0505685806,0.234502014,0.0962005615234375
464,31,50.0,primary,Ang Mo Kio Avenue 3,103.8499685,1.36900686,37.0432803814,0.049834771,0.0349554443359375
465,1022,100.0,secondary,Ang Mo Kio Avenue 9,103.84087487,1.38360095,37.0333809486,0.362190409,0.3101910400390625
466,2403,50.0,residential,Ang Mo Kio Street 22,103.8439416,1.36875639,37.0209153493,0.231157965,0.270211181640625
467,410,150.0,primary,Ang Mo Kio Avenue 5,103.84600287,1.37707581,37.0164442796,0.197327456,0.165010986328125
468,2457,100.0,primary,Ang Mo Kio Avenue 6,103.8444372,1.37859187,37.0152757818,0.094451442,0.011014404296874999
469,931,50.0,primary,Ang Mo Kio Avenue 6,103.84506431,1.36789617,37.0092724391,0.059003554,0.047493896484375
470,2074,50.0,primary,Ang Mo Kio Avenue 6,103.84526503,1.36843891,37.0001693139,0.024291048,0.029512939453125
471,518,50.0,primary,Ang Mo Kio Avenue 5,103.85276298,1.37610294,36.9990545,0.270517685,0.261832275390625
472,1422,50.0,residential,Ang Mo Kio Street 22,103.84381645,1.3683342,36.9903312096,0.346051813,0.3042816162109375
