ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
1,2433,50,tertiary,Ubi Avenue 3,103.894471,1.33203174,43.66359929,0.239263143,0.382034302
2,395,50,residential,Defu Lane 12,103.8946275,1.34076854,43.3944397,0.22856767,0.308683472
3,1197,50,tertiary,Ubi Avenue 3,103.8940937,1.33177943,43.36380445,0.337725294,0.384584351
4,395,100,residential,Defu Lane 12,103.8950589,1.34064587,43.35460854,0.361940738,0.395441895
5,1244,50,residential,Bunga Rampai Place,103.8837753,1.33966457,43.34151371,0.24631714,0.350321045
6,1300,50,residential,Jalan Bunga Rampai,103.8836204,1.33982749,43.28959529,0.39546622,0.318605347
7,1117,50,residential,Ubi Road 4,103.8990606,1.33371164,43.25239216,0.192804212,
8,1760,50,residential,Bunga Rampai Place,103.8839292,1.3391916,43.24191978,0.19860771,0.196464844
9,1493,50,residential,Paya Lebar Street,103.8846091,1.33937631,43.19443035,0.268966143,0.452523804
10,981,50,secondary,Airport Road,103.8975451,1.33946386,43.18752809,0.415614312,0.345584106
11,1340,50,secondary,Kim Chuan Road,103.889881,1.34145645,43.13635935,0.323247489,0.172365723
12,395,150,residential,Defu Lane 12,103.8954986,1.34055309,43.11935488,0.314628847,0.380219116
13,2360,150,secondary,Bartley Road East,103.8992895,1.33940384,43.00589928,0.343770826,0.372851563
14,10,50,residential,Ubi View,103.8962676,1.33168201,42.80289187,0.402571214,0.34803894
15,2667,200,secondary,Ubi Avenue 2,103.8939613,1.32774567,42.8018237,0.511016794,0.556401978
16,2360,100,secondary,Bartley Road East,103.8997002,1.33922064,42.78430675,0.476448247,0.396819458
17,670,50,secondary,Kim Chuan Road,103.8894315,1.34126441,42.77495956,0.572273811,
18,1218,50,residential,Lorong Paya Lebar,103.8852584,1.33932648,42.7749223,0.175878144,0.171707153
19,237,50,residential,Harper Road,103.8878153,1.33455288,42.75838025,0.238511824,0.085342407
20,1918,50,residential,Paya Lebar Street,103.8853297,1.33892755,42.71822516,0.233141763,0.317797852
21,2245,50,residential,Lorong Paya Lebar,103.8847337,1.33986038,42.59661044,0.171568856,0.197233276
22,1806,50,residential, ,103.8853507,1.3396143,42.58995086,0.123153168,0.228695068
23,530,150,secondary,Ubi Avenue 2,103.8941231,1.3279551,42.58646997,0.61365288,0.593764648
24,1900,50,residential,Jalan Anggerek,103.8824618,1.33158829,42.55592111,0.127656183,0.081538086
25,1160,50,residential,Tai Seng Avenue,103.8918865,1.33715497,42.54598207,0.29985649,0.1424823
26,2667,250,secondary,Ubi Avenue 2,103.893542,1.32758328,42.52732304,0.472370595,0.525813599
27,576,50,residential,Upper Paya Lebar Road,103.8864362,1.33863669,42.52693315,0.192579459,0.154134521
28,2233,50,primary,Upper Paya Lebar Road,103.8863224,1.33906995,42.51763725,0.172170358,0.363884888
29,395,200,residential,Defu Lane 12,103.8959441,1.34049989,42.43476595,0.299361642,0.365255534
30,1202,50,residential,Jalan Mawar,103.8832769,1.33141556,42.40995613,0.290464966,0.199182739
31,2069,50,secondary,Bartley Road East,103.8992776,1.33978808,42.39446608,0.425999789,
32,2069,100,secondary,Bartley Road East,103.8996794,1.33958608,42.30967808,0.499231808,
33,755,50,secondary,Airport Road,103.8975124,1.33997973,42.30959966,0.256677061,0.31255249
34,538,50,residential, ,103.886411,1.33821354,42.30515289,0.123837774,0.252112427
35,28,50,residential,Joo Seng Road,103.8838726,1.33800865,42.27689525,0.305644333,0.308635254
36,1650,50,residential,Paya Lebar Street,103.8848237,1.33896669,42.27222306,0.321126471,0.339989014
37,655,50,primary,MacPherson Road,103.884428,1.33247215,42.25408085,0.089610454,0.027349854
38,530,100,secondary,Ubi Avenue 2,103.8937005,1.32780149,42.23320634,0.506608011,0.477806396
39,843,100,residential,Upper Paya Lebar Road,103.8854341,1.33989396,42.19804192,0.337580755,0.198970947
40,2637,50,secondary,Bartley Road East,103.8981357,1.34006546,42.1796294,0.117350606,
41,1730,50,tertiary,Ubi Avenue 4,103.8915449,1.33301351,42.17555809,0.388056433,0.581959839
42,2667,150,secondary,Ubi Avenue 2,103.8943806,1.32790805,42.1548547,0.360136075,0.389437866
43,1017,200,primary,Upper Paya Lebar Road,103.8863891,1.33916697,42.1122592,0.116322348,0.122880249
44,349,50,primary,MacPherson Road,103.8841643,1.33253911,42.07695301,0.170237238,0.114273682
45,1483,50,tertiary,Kaki Bukit Avenue 2,103.9003677,1.33575476,42.05933321,0.361090708,0.276126709
46,1755,50,tertiary,Ubi Avenue 3,103.8929364,1.33134862,42.02070618,0.288114756,0.223027344
47,37,150,secondary,Airport Road,103.8971188,1.33938758,42.00245558,0.321008172,0.399691772
48,530,50,secondary,Ubi Avenue 2,103.8932758,1.32765432,41.99651483,0.44754325,0.390890503
49,2559,50,tertiary,Kaki Bukit Avenue 2,103.9009211,1.33661406,41.97857203,0.208430811,0.233968506
50,250,50,tertiary,Ubi Avenue 3,103.8921794,1.33104921,41.96374717,0.273222232,0.245064087
51,425,100,primary,Bartley Road East,103.8869525,1.34116472,41.95835114,0.298129234,0.196151733
52,936,50,residential,Kampong Ampat,103.8825943,1.33666507,41.93437334,0.385606565,0.315733643
53,2609,50,tertiary,Ubi Avenue 3,103.8962909,1.33272939,41.88508987,0.286830037,0.379215698
54,939,50,secondary,Airport Road,103.897216,1.33888639,41.85516485,0.438653486,0.361478882
55,2320,50,residential,Jalan Bunga Rampai,103.8843154,1.34025634,41.84936113,0.44195627,0.313312988
56,530,200,secondary,Ubi Avenue 2,103.8945456,1.3281087,41.84922632,0.45521455,0.459343872
57,843,150,residential,Upper Paya Lebar Road,103.8857349,1.33955808,41.83449427,0.093131559,0.267897949
58,806,50,tertiary,Ubi Avenue 4,103.8913541,1.33284455,41.81568718,0.333939986,0.436350098
59,186,50,primary,Upper Paya Lebar Road,103.8884722,1.33490877,41.79955128,0.173144494,0.201577759
60,2460,50,residential,Lorong Paya Lebar,103.8844481,1.34020872,41.77422587,0.361094953,0.465646973
61,349,100,primary,MacPherson Road,103.8846007,1.33264628,41.77291283,0.048591828,0.017599487
62,2344,50,primary,Upper Paya Lebar Road,103.8866547,1.33857679,41.74674743,0.301474384,0.429595337
